100,1,0,2.145767e-06
100,1,0,1.907349e-06
100,1,0,3.099442e-06
100,1,0,3.099442e-06
100,1,0,3.099442e-06
100,1,0,5.960464e-06
100,1,0,2.861023e-06
100,1,0,2.861023e-06
100,1,0,2.145767e-06
100,1,0,3.099442e-06
200,1,0,3.099442e-06
200,1,0,3.099442e-06
200,1,0,2.861023e-06
200,1,0,1.907349e-06
200,1,0,3.099442e-06
200,1,0,2.861023e-06
200,1,0,2.861023e-06
200,1,0,3.099442e-06
200,1,0,3.099442e-06
200,1,0,3.099442e-06
400,1,0,4.053116e-06
400,1,0,4.053116e-06
400,1,0,2.861023e-06
400,1,0,4.053116e-06
400,1,0,4.053116e-06
400,1,0,4.053116e-06
400,1,0,3.814697e-06
400,1,0,4.053116e-06
400,1,0,4.053116e-06
400,1,0,4.053116e-06
800,1,0,5.006790e-06
800,1,0,5.960464e-06
800,1,0,5.960464e-06
800,1,0,5.006790e-06
800,1,0,5.960464e-06
800,1,0,5.006790e-06
800,1,0,5.960464e-06
800,1,0,5.960464e-06
800,1,0,5.006790e-06
800,1,0,5.960464e-06
1600,1,0,9.059906e-06
1600,1,0,9.059906e-06
1600,1,0,9.059906e-06
1600,1,0,9.059906e-06
1600,1,0,9.059906e-06
1600,1,0,9.059906e-06
1600,1,0,8.821487e-06
1600,1,0,9.059906e-06
1600,1,0,9.059906e-06
1600,1,0,9.059906e-06
1000,1,0,6.914139e-06
1000,1,0,7.152557e-06
1000,1,0,6.914139e-06
1000,1,0,6.914139e-06
1000,1,0,6.198883e-06
1000,1,0,5.960464e-06
1000,1,0,5.960464e-06
1000,1,0,5.960464e-06
1000,1,0,6.914139e-06
1000,1,0,5.960464e-06
2000,1,0,1.096725e-05
2000,1,0,1.096725e-05
2000,1,0,1.120567e-05
2000,1,0,1.096725e-05
2000,1,0,1.096725e-05
2000,1,0,1.192093e-05
2000,1,0,1.096725e-05
2000,1,0,1.096725e-05
2000,1,0,1.096725e-05
2000,1,0,1.120567e-05
4000,1,0,2.002716e-05
4000,1,0,2.002716e-05
